ATT,DJIA,GM,IBM,INT1M,ratt,rdj,rgm,ribm,pratt,prdj,prgm,pribm
28.1,5551.74,43.76,26.37,4.73,-0.0081186,0.00032613,0.0539499,0.0022805,-0.00824999,0.00032636,0.0539499,0.002279
28.16,5535.48,43.37,26.34,4.73,0.00213523,-0.00292881,-0.00891225,-0.00113766,0.00200384,-0.00292887,-0.00891217,-0.00113741
28.16,5564.74,42.88,26.81,4.73,0,0.0052859,-0.01129813,0.01784358,-0.00013139,0.0052859,-0.01129828,0.0178439
27.98,5588.59,43.37,26.75,4.73,-0.00639205,0.00428592,0.01142724,-0.00223797,-0.00652343,0.00428609,0.01142712,-0.00223829
27.93,5553.9,43.37,26.69,4.73,-0.00178699,-0.00620729,0,-0.00224299,-0.00191838,-0.00620724,0.00000017,-0.00224299
28.27,5566.91,42.59,27.06,4.73,0.01217329,0.0023425,-0.01798478,0.01386287,0.0120419,0.00234216,-0.01798485,0.01386337
28.33,5567.99,42.59,26.94,4.73,0.00212239,0.000194,0,-0.00443459,0.001991,0.00019395,-0.00000001,-0.00443459
28.33,5573.41,43.17,27.16,4.72,0,0.00097342,0.01361822,0.0081663,-0.00013111,0.00097342,0.01361819,0.00816592
28.27,5569.08,42.69,26.94,4.72,-0.0021179,-0.0007769,-0.01111883,-0.00810015,-0.00224901,-0.00077684,-0.01111881,-0.00809984
27.93,5575.22,43.37,26.97,4.72,-0.01202688,0.00110252,0.01592879,0.00111359,-0.012158,0.00110285,0.01592876,0.00111314
27.41,5498.27,44.15,26.97,4.72,-0.01861797,-0.01380215,0.01798478,0,-0.01874909,-0.01380163,0.01798517,-0.0000005
27.41,5478.03,44.83,27.03,4.72,0,-0.00368116,0.01540204,0.00222469,-0.00013111,-0.00368116,0.01540214,0.00222427
27.52,5464.31,44.73,26.75,4.72,0.00401313,-0.00250455,-0.00223065,-0.01035886,0.00388202,-0.00250466,-0.00223058,-0.0103588
27.29,5420.95,44.44,26.47,4.72,-0.00835756,-0.00793513,-0.00648335,-0.01046729,-0.00848867,-0.0079349,-0.00648312,-0.01046711
27.69,5474.06,44.05,26.47,4.72,0.01465738,0.00979718,-0.00877588,0,0.01452627,0.00979677,-0.00877615,0.00000024
27.87,5475.14,43.66,26.75,4.72,0.00650054,0.00019729,-0.00885358,0.01057801,0.00636943,0.00019711,-0.00885358,0.01057826
28.21,5518.14,43.86,26.59,4.72,0.0121995,0.00785368,0.00458085,-0.00598131,0.01206839,0.00785334,0.00458063,-0.00598144
